Run,Iteration,Ratio,N_Variables,Accuracy,Kappa,Macro_F1
39,1,1.0,204,0.6672297297297297,0.6212596256669983,0.5109233006663714
39,2,0.954357540733128,204,0.6769425675675675,0.6324153175071807,0.5216881458375815
39,3,0.9107983155541839,194,0.6692356418918919,0.6234943924159759,0.5085049435918236
39,4,0.8692272405361663,185,0.6673353040540541,0.6212779647085189,0.519169958758747
39,5,0.8295535716163387,177,0.6606313344594594,0.6134167027385448,0.5006249367885971
39,6,0.7916907065141517,169,0.6662795608108109,0.619839883870392,0.5315332909506573
39,7,0.7555559956901182,161,0.6573057432432432,0.6094356452647196,0.5079758540625104
39,8,0.721070561932991,154,0.661792652027027,0.6147338139905957,0.5053757307046187
39,9,0.6881591281814239,147,0.6673353040540541,0.6210300683064348,0.5366314950556227
39,10,0.656749853204277,140,0.6613175675675675,0.6140726649042911,0.5160686401113584
39,11,0.6267741747808766,133,0.6551942567567568,0.6068516808790765,0.5009549405277582
39,12,0.5981666600389132,127,0.6638513513513513,0.6168405335565974,0.5265735392038358
39,13,0.5708648626232861,122,0.6615815033783784,0.6143298765260979,0.5100875848485051
39,14,0.5448091863841141,116,0.6580447635135135,0.6101436070996585,0.5088124786123724
39,15,0.5199427552863595,111,0.6558804898648649,0.607678705339565,0.506496310719385
39,16,0.4962112892570966,106,0.655299831081081,0.6068494514937305,0.5027128551731819
39,17,0.4735629856994175,101,0.6599451013513513,0.6122040867581939,0.5204379492457206
39,18,0.45194840641433354,96,0.6619510135135135,0.6144078816682841,0.5358811853844362
39,19,0.43132036968383947,92,0.6603146114864865,0.6125802364971293,0.5254584379412429
39,20,0.41163384727957264,87,0.6568834459459459,0.6086812794603107,0.5187486485831307
39,21,0.3928458661722489,83,0.6563555743243243,0.608063327536611,0.5185647524750041
39,22,0.3749154147273229,80,0.661792652027027,0.6142763951153709,0.5381686805825734
39,23,0.35780335318210865,76,0.6662267736486487,0.6195064860527963,0.5581764742557482
39,24,0.341472328208944,72,0.6599978885135135,0.6122267390394724,0.5169203326665729
39,25,0.3258866913779032,69,0.6616342905405406,0.6143550450790256,0.5231330730488517
39,26,0.3110124213410716,66,0.6565139358108109,0.60846895625926,0.5025895599462649
39,27,0.29681704956852045,63,0.6612647804054054,0.6141410986713016,0.5109922200000261
39,28,0.28326958947387604,60,0.663745777027027,0.6168758833549675,0.5212464000412869
39,29,0.27034046877477114,57,0.673511402027027,0.6282762218343438,0.5508104374676822
39,30,0.2580014649405315,55,0.6752533783783784,0.6302433744968372,0.5653761446202139
39,31,0.24622564358619,52,0.6664907094594594,0.6202396809584383,0.5384981061562177
39,32,0.23498729967834794,50,0.6626900337837838,0.6159689622421647,0.517400493834358
39,33,0.22426190142454666,47,0.6648543074324325,0.618451714874043,0.5214267165676569
39,34,0.21402603672366552,45,0.6662267736486487,0.6199372553175524,0.5337315059045422
39,35,0.20425736206045553,43,0.6653293918918919,0.6189587254767435,0.526930373172046
39,36,0.19493455373265248,41,0.6614759290540541,0.6144285943366556,0.5220156676579785
39,37,0.18603726130420398,39,0.6628483952702703,0.6161745566957416,0.5286555017048784
39,38,0.17754606318300636,37,0.6688661317567568,0.6230875502825901,0.5452395968137698
39,39,0.16944242422618255,36,0.6607896959459459,0.6137156650792548,0.5231151144305926
39,40,0.1617086552803589,34,0.6623205236486487,0.6154632131989055,0.5241158514227868
39,41,0.15432787456862446,32,0.6658572635135135,0.6195308579299388,0.5436461253623134
39,42,0.14728397083988307,31,0.6624788851351351,0.6155565293813507,0.5355441702733239
39,43,0.14056156820016055,30,0.6672297297297297,0.6208311170984985,0.5759077449148233
39,44,0.13414599254909704,28,0.6615287162162162,0.6143961329993791,0.5435022453342901
39,45,0.12802323954836076,27,0.6654877533783784,0.6189698801642063,0.5556987776883974
39,46,0.1221799440520617,26,0.6645375844594594,0.6179385117634352,0.5553766031958478
39,47,0.11660335093243673,24,0.6550358952702703,0.6068726697161073,0.5410740436852759
39,48,0.1112812872371222,23,0.6505489864864865,0.6016929718033942,0.5316398160032205
39,49,0.10620213561723678,22,0.6514991554054054,0.6026549354980073,0.5387447180883622
39,50,0.10135480896827219,21,0.6490181587837838,0.5997677967534365,0.5278782563061304
39,51,0.09672872622843623,20,0.6446368243243243,0.5946706202787231,0.5186768675211303
39,52,0.09231378928161843,19,0.6468538851351351,0.5971328900060429,0.5251107354542055
39,53,0.0881003609145615,18,0.6462732263513513,0.5965113879092871,0.5244093681438036
39,54,0.08407924378012192,17,0.6247360641891891,0.5709126449088552,0.4760841656593105
39,55,0.08024166032069831,17,0.6132284628378378,0.5577103763466713,0.43303943202641415
39,56,0.07657923360800463,16,0.6218855574324325,0.5676666250292854,0.4668358940389195
39,57,0.07308396905736299,15,0.6219911317567568,0.5680500404557112,0.4632260182378163
39,58,0.06974823697660097,14,0.59765625,0.5389526875344506,0.37814226469593626
39,59,0.06656475591146033,14,0.5989759290540541,0.5405975039651987,0.3814562751398403
39,60,0.0635265767511622,13,0.5962837837837838,0.5372262228066924,0.3742339300009976
39,61,0.06062706755943346,12,0.5867820945945946,0.526341098204145,0.36761611337433453
39,62,0.05785989909788212,12,0.5893158783783784,0.5292854514436516,0.37104292566761965
39,63,0.05521903101012169,11,0.5851456925675675,0.5244073308629283,0.3655783026414855
39,64,0.05269869863648607,11,0.57421875,0.5117032391271612,0.33595982531615937
39,65,0.050293400430553095,10,0.5809227195945946,0.5192539559078181,0.3588918982884316
39,66,0.04799788595000907,10,0.5834037162162162,0.522298832271747,0.3631021136581943
39,67,0.045807144395639814,9,0.5931693412162162,0.5335627411517274,0.37524936407136567
39,68,0.0437163936734301,9,0.5945945945945946,0.5353909815415229,0.3781206249885456
39,69,0.04172106995589601,8,0.5933277027027027,0.5334313646611657,0.37492368879004534
39,70,0.03981681771986371,8,0.5930637668918919,0.533299898262147,0.37595438342518656
39,71,0.03799948023894836,8,0.5970228040540541,0.5379279899835856,0.38058781824228555
39,72,0.03626509050997986,7,0.5891575168918919,0.5291372429376175,0.3708410382758718
39,73,0.03460986259356866,7,0.5847761824324325,0.5239693251014579,0.3446157333372867
39,74,0.03303018334990966,7,0.588893581081081,0.528721416157341,0.3735125379848412
39,75,0.0315226045517841,6,0.5748521959459459,0.5081302591203729,0.33109652357696606
39,76,0.030083835357543567,6,0.5744826858108109,0.5077170053780486,0.32965195595278174
39,77,0.028710735127645604,6,0.5724239864864865,0.5052474199627519,0.32741968349170064
39,78,0.02740030656906009,5,0.5723711993243243,0.5051493693276424,0.32763454649522306
39,79,0.026149689192581947,5,0.5674619932432432,0.499380795214432,0.3217366980780649
39,80,0.024956153068768163,5,0.568042652027027,0.5001704373847613,0.3227346810052639
39,81,0.02381709286886909,5,0.5646642736486487,0.49628006755567944,0.3202362384539992
39,82,0.022730022177746417,4,0.51953125,0.439614653851478,0.24065497096946978
39,83,0.021692568066363528,4,0.5237014358108109,0.44436934185494203,0.244192696373202
39,84,0.020702465912000683,4,0.5261296452702703,0.4472228508104068,0.24627637906901398
39,85,0.019757554454888377,4,0.5046452702702703,0.4222561368872597,0.22651294579072084
39,86,0.01885577108046814,4,0.5099239864864865,0.42831119006350293,0.23127819406169162
39,87,0.0179951473169824,3,0.4387668918918919,0.34543989845450973,0.18508310919389956
39,88,0.01717380453856566,3,0.4499577702702703,0.35866118817963555,0.196687168940601
39,89,0.01638994986445697,3,0.42615076013513514,0.331113540400617,0.17086657441746556
39,90,0.01564187224538241,3,0.45027449324324326,0.35895312769089294,0.19671475345075773
39,91,0.01492793872856492,3,0.4588260135135135,0.37021475509588075,0.20245448856997628
39,92,0.01424659089320804,3,0.43966427364864863,0.3462822552194872,0.18662695832586443
39,93,0.013596341448672998,2,0.45249155405405406,0.3601151208861858,0.18758014209232016
39,94,0.01297577098792345,2,0.4270481418918919,0.326950067042417,0.15407185536826304
39,95,0.0123835248891509,2,0.4265202702702703,0.32826504017342106,0.1624740199395972
39,96,0.01181831035881753,2,0.39685388513513514,0.2918093606404889,0.12541218768398787
39,97,0.011278893609661946,2,0.46283783783783783,0.37211265115455516,0.1962472279215955
39,98,0.01076409716750757,2,0.4614653716216216,0.3687159861614111,0.19152906021193591
