Run,Iteration,Ratio,N_Variables,Accuracy,Kappa,Macro_F1
43,1,1.0,204,0.6919341216216216,0.6496387623738129,0.572496192947718
43,2,0.954357540733128,204,0.6836993243243243,0.6401947658440983,0.5339412378926527
43,3,0.9107983155541839,194,0.6706081081081081,0.6250703667685059,0.5146590333639773
43,4,0.8692272405361663,185,0.667018581081081,0.6209090732795206,0.5101894973755785
43,5,0.8295535716163387,177,0.6615815033783784,0.6145346733216475,0.4949750551355775
43,6,0.7916907065141517,169,0.6659100506756757,0.619438106440831,0.5131849696219568
43,7,0.7555559956901182,161,0.6651182432432432,0.6185514321303238,0.5183404136046927
43,8,0.721070561932991,154,0.6674408783783784,0.6212013154509499,0.5246009884626314
43,9,0.6881591281814239,147,0.6644847972972973,0.6177818197077027,0.5161902145789574
43,10,0.656749853204277,140,0.667018581081081,0.6207145879079361,0.5222364141009428
43,11,0.6267741747808766,133,0.6561444256756757,0.60804118144308,0.49413807783138586
43,12,0.5981666600389132,127,0.6546663851351351,0.6062848742442069,0.49591271265866566
43,13,0.5708648626232861,122,0.6567250844594594,0.6086081044980582,0.5042303923846008
43,14,0.5448091863841141,116,0.6637985641891891,0.6167873115441465,0.5203193969261608
43,15,0.5199427552863595,111,0.6558277027027027,0.6076221838672257,0.5053274562968937
43,16,0.4962112892570966,106,0.6538745777027027,0.6052792438377164,0.5008463598825824
43,17,0.4735629856994175,101,0.6548247466216216,0.6063651949936735,0.513718702245012
43,18,0.45194840641433354,96,0.6575696790540541,0.609425309913153,0.5207719997622455
43,19,0.43132036968383947,92,0.6616870777027027,0.6142424649979772,0.5374866937381564
43,20,0.41163384727957264,87,0.6539273648648649,0.6053092032227501,0.5087897020823436
43,21,0.3928458661722489,83,0.6556165540540541,0.6071922086010801,0.5186516903494542
43,22,0.3749154147273229,80,0.6577280405405406,0.6096467262222884,0.5230273706958912
43,23,0.35780335318210865,76,0.6589949324324325,0.6111625370896636,0.5111624194907803
43,24,0.341472328208944,72,0.659839527027027,0.6121119390410896,0.5139116847231949
43,25,0.3258866913779032,69,0.6566722972972973,0.6086461210038143,0.5046770098236388
43,26,0.3110124213410716,66,0.6557749155405406,0.6075859168930564,0.49893355031379744
43,27,0.29681704956852045,63,0.661106418918919,0.6138032952921448,0.5250779380886068
43,28,0.28326958947387604,60,0.665698902027027,0.6191136037743263,0.5357122738916842
43,29,0.27034046877477114,57,0.6677576013513513,0.6215993195527381,0.5420842118320924
43,30,0.2580014649405315,55,0.6612119932432432,0.6140220470681158,0.5167158237728133
43,31,0.24622564358619,52,0.6706081081081081,0.624987844124685,0.5466530452346257
43,32,0.23498729967834794,50,0.6695523648648649,0.6237427486534549,0.5488312021077213
43,33,0.22426190142454666,47,0.6671769425675675,0.6210712531155276,0.5325850320090237
43,34,0.21402603672366552,45,0.6686549831081081,0.6227241753638454,0.5419914431929072
43,35,0.20425736206045553,43,0.6735641891891891,0.6284075481036321,0.5519828019845816
43,36,0.19493455373265248,41,0.6619510135135135,0.6150142425121594,0.5209893577866128
43,37,0.18603726130420398,39,0.6688661317567568,0.622999593133231,0.5500508704894689
43,38,0.17754606318300636,37,0.6719805743243243,0.6266450476593155,0.5477623043939337
43,39,0.16944242422618255,36,0.6632179054054054,0.6165223068199239,0.530842405386964
43,40,0.1617086552803589,34,0.6610008445945946,0.6140565534268257,0.5191209697446617
43,41,0.15432787456862446,32,0.6618454391891891,0.6149598162715537,0.5206287779785237
43,42,0.14728397083988307,31,0.664379222972973,0.6178184770056749,0.5421315937508381
43,43,0.14056156820016055,30,0.6662267736486487,0.6198299615470115,0.5573320733400582
43,44,0.13414599254909704,28,0.670924831081081,0.6251728602364479,0.5880950068100892
43,45,0.12802323954836076,27,0.6659628378378378,0.6194804188160975,0.5589106851111307
43,46,0.1221799440520617,26,0.6538745777027027,0.6055224703787618,0.5368185603316036
43,47,0.11660335093243673,24,0.6461148648648649,0.5965573383627094,0.5197647060771082
43,48,0.1112812872371222,23,0.6490181587837838,0.5998599355053487,0.5266656415547465
43,49,0.10620213561723678,22,0.6469594594594594,0.5975129693550267,0.5220258543006887
43,50,0.10135480896827219,21,0.6442673141891891,0.594351977415978,0.52500789570945
43,51,0.09672872622843623,20,0.6434755067567568,0.5933067444241664,0.5162131910934955
43,52,0.09231378928161843,19,0.618190456081081,0.5634880509662332,0.4504939759645918
43,53,0.0881003609145615,18,0.6188766891891891,0.5644002417498962,0.44856296792550204
43,54,0.08407924378012192,17,0.6183488175675675,0.5636254375334957,0.45007264676539693
43,55,0.08024166032069831,17,0.6140202702702703,0.5586097628814786,0.4516393389679841
43,56,0.07657923360800463,16,0.616870777027027,0.5619595090433724,0.44714788440901165
43,57,0.07308396905736299,15,0.6140730574324325,0.5591338376761884,0.43934821153824744
43,58,0.06974823697660097,14,0.5831397804054054,0.5223621212272045,0.3614760424248087
43,59,0.06656475591146033,14,0.5818201013513513,0.5207811085922118,0.3596946738180003
43,60,0.0635265767511622,13,0.5831925675675675,0.5224534353799821,0.36319034310227083
43,61,0.06062706755943346,12,0.5861486486486487,0.5255487761056816,0.36723305535932327
43,62,0.05785989909788212,12,0.5847761824324325,0.5239864825689904,0.3649230878063067
43,63,0.05521903101012169,11,0.5827174831081081,0.5216838756233041,0.3580048977205699
43,64,0.05269869863648607,11,0.5789695945945946,0.5172732661203612,0.35336795629999784
43,65,0.050293400430553095,10,0.5880489864864865,0.5272887610337104,0.3672450780824368
43,66,0.04799788595000907,10,0.5808699324324325,0.5184754969760996,0.3525008522862677
43,67,0.045807144395639814,9,0.5749049831081081,0.5121551140984577,0.3310240620403498
43,68,0.0437163936734301,9,0.5761190878378378,0.5136213473098372,0.3420070253494194
43,69,0.04172106995589601,8,0.5757495777027027,0.5132829979917147,0.3417630381078477
43,70,0.03981681771986371,8,0.5799197635135135,0.5181456543176699,0.35443067777668136
43,71,0.03799948023894836,8,0.5782305743243243,0.5161691081578633,0.34875620542836044
43,72,0.03626509050997986,7,0.5756440033783784,0.513204500894292,0.34546167424538804
43,73,0.03460986259356866,7,0.575221706081081,0.5129232220154927,0.3293098577469482
43,74,0.03303018334990966,7,0.5728990709459459,0.5102101339994858,0.33952988774497095
43,75,0.0315226045517841,6,0.5703125,0.507283578912453,0.31639997479720505
