Run,Iteration,Ratio,N_Variables,Accuracy,Kappa,Macro_F1
5,1,1.0,204,0.6762563344594594,0.6315664681243356,0.5180683032826177
5,2,0.954357540733128,204,0.6743559966216216,0.6294429363034718,0.5192337446910904
5,3,0.9107983155541839,194,0.6668602195945946,0.6207614498110945,0.4976354468684485
5,4,0.8692272405361663,185,0.6661211993243243,0.6199081288997064,0.5095499043453248
5,5,0.8295535716163387,177,0.670924831081081,0.6252376190018851,0.5346231716347197
5,6,0.7916907065141517,169,0.6595228040540541,0.6120416149987005,0.5179585490177742
5,7,0.7555559956901182,161,0.6581503378378378,0.6104869975519878,0.49190714371973304
5,8,0.721070561932991,154,0.6588893581081081,0.6112637172803386,0.5067714632234357
5,9,0.6881591281814239,147,0.6654349662162162,0.6188118328746761,0.5244507121539821
5,10,0.656749853204277,140,0.6574641047297297,0.6096651773906765,0.49983325369508896
5,11,0.6267741747808766,133,0.6635346283783784,0.6165786368260247,0.5246651143191547
5,12,0.5981666600389132,127,0.6486486486486487,0.5992675934676245,0.4817937012209523
5,13,0.5708648626232861,122,0.6614759290540541,0.6141367512571496,0.5094781405794938
5,14,0.5448091863841141,116,0.6622677364864865,0.614953053683466,0.5217939038531053
5,15,0.5199427552863595,111,0.6592588682432432,0.6115517289483196,0.5155284679051906
5,16,0.4962112892570966,106,0.6550358952702703,0.6065640923631452,0.5030428781371333
5,17,0.4735629856994175,101,0.6540857263513513,0.6054752407826348,0.4980877584928416
5,18,0.45194840641433354,96,0.6506545608108109,0.601391169750361,0.49558670959912837
5,19,0.43132036968383947,92,0.6557221283783784,0.6072792265294964,0.5206171628412708
5,20,0.41163384727957264,87,0.655299831081081,0.6068630554738871,0.5026550098461534
5,21,0.3928458661722489,83,0.6566722972972973,0.6084787442103528,0.5229051219639261
5,22,0.3749154147273229,80,0.6535050675675675,0.6047278972897135,0.5160915963332977
5,23,0.35780335318210865,76,0.6627428209459459,0.615505159680089,0.5449973655937634
5,24,0.341472328208944,72,0.6606841216216216,0.6131047805782793,0.5132516862658298
5,25,0.3258866913779032,69,0.6564611486486487,0.6082736323219021,0.510788829087089
5,26,0.3110124213410716,66,0.66796875,0.6217185206852605,0.5435311633690085
5,27,0.29681704956852045,63,0.6570418074324325,0.6090656124724183,0.5074664126030278
5,28,0.28326958947387604,60,0.6665962837837838,0.6202475132504002,0.539334435968046
5,29,0.27034046877477114,57,0.6720861486486487,0.6266234809346092,0.5573348375080658
5,30,0.2580014649405315,55,0.6641680743243243,0.6174928279426001,0.5325638353439254
5,31,0.24622564358619,52,0.6666490709459459,0.620405359440974,0.5416608239823832
5,32,0.23498729967834794,50,0.666965793918919,0.6208465407509032,0.5352277582953531
5,33,0.22426190142454666,47,0.6686021959459459,0.6227069888782748,0.5476706528133007
5,34,0.21402603672366552,45,0.6749894425675675,0.6301074353033012,0.5618948348295241
5,35,0.20425736206045553,43,0.6644320101351351,0.6179677937928809,0.522730309310742
