Run,Iteration,Ratio,N_Variables,Accuracy,Kappa,Macro_F1
13,1,1.0,204,0.6836465371621622,0.6400732079519278,0.5543435735649894
13,2,0.954357540733128,204,0.677417652027027,0.6329260695008113,0.5417862422486818
13,3,0.9107983155541839,194,0.6649070945945946,0.6184642902802289,0.5013359178121684
13,4,0.8692272405361663,185,0.6651710304054054,0.6187718158945207,0.5046717377046677
13,5,0.8295535716163387,177,0.6717694256756757,0.626275880640845,0.5328114708764667
13,6,0.7916907065141517,169,0.6540857263513513,0.6057947371184897,0.48885795980437047
13,7,0.7555559956901182,161,0.6667546452702703,0.6204420444380306,0.5193331317769615
13,8,0.721070561932991,154,0.6644320101351351,0.6177397393216723,0.5150716334379224
13,9,0.6881591281814239,147,0.6633234797297297,0.6163748833096975,0.503581802333232
13,10,0.656749853204277,140,0.6544552364864865,0.6061840243708208,0.49587385075201973
13,11,0.6267741747808766,133,0.655247043918919,0.6070054730953396,0.4991353128404933
13,12,0.5981666600389132,127,0.6610536317567568,0.6136656679317906,0.5122426434711547
13,13,0.5708648626232861,122,0.6569890202702703,0.6089299182515657,0.5112994440764168
13,14,0.5448091863841141,116,0.6602618243243243,0.6126884059303146,0.5277432765985591
13,15,0.5199427552863595,111,0.6668602195945946,0.6202300035071256,0.5311998642083321
13,16,0.4962112892570966,106,0.6547719594594594,0.6062227002879153,0.5086161784771897
13,17,0.4735629856994175,101,0.6549831081081081,0.606496264507564,0.5069613835504002
13,18,0.45194840641433354,96,0.6497571790540541,0.6003209872974776,0.49129525339651714
13,19,0.43132036968383947,92,0.6487014358108109,0.5992163541183976,0.48528317956902434
13,20,0.41163384727957264,87,0.6621621621621622,0.6147757992171111,0.5293252160977624
13,21,0.3928458661722489,83,0.6594700168918919,0.611622773451225,0.5306747105801215
13,22,0.3749154147273229,80,0.6577280405405406,0.6096382409359384,0.5279236698000579
13,23,0.35780335318210865,76,0.6574641047297297,0.6094353629742004,0.525091812889115
13,24,0.341472328208944,72,0.6615815033783784,0.6141549779569362,0.5451916199833979
13,25,0.3258866913779032,69,0.6610536317567568,0.613550887676766,0.5260140139861175
13,26,0.3110124213410716,66,0.6668074324324325,0.6202429513367695,0.5386757254162059
13,27,0.29681704956852045,63,0.6692884290540541,0.6232636149972901,0.5329664609430276
13,28,0.28326958947387604,60,0.6643264358108109,0.6176100948355718,0.5336253869898203
13,29,0.27034046877477114,57,0.6700274493243243,0.6242876416519133,0.5420511942788035
13,30,0.2580014649405315,55,0.6641680743243243,0.6174681897160323,0.529537394555581
13,31,0.24622564358619,52,0.6731418918918919,0.6278673290523896,0.5557797581062501
13,32,0.23498729967834794,50,0.6616342905405406,0.6146799249738135,0.5182045951405388
13,33,0.22426190142454666,47,0.6667546452702703,0.6205383242611713,0.5355654325382517
13,34,0.21402603672366552,45,0.6588365709459459,0.611459346349051,0.506779386719269
13,35,0.20425736206045553,43,0.666332347972973,0.6199427026247486,0.5434156436098371
13,36,0.19493455373265248,41,0.6687605574324325,0.6228696671806475,0.5460670716933245
13,37,0.18603726130420398,39,0.6666490709459459,0.6203694231587689,0.5409874748190393
13,38,0.17754606318300636,37,0.659839527027027,0.6127410529213735,0.510431173983435
13,39,0.16944242422618255,36,0.6731946790540541,0.6280132361886316,0.5590354500015737
13,40,0.1617086552803589,34,0.6701330236486487,0.6244833885342269,0.5478620627980665
13,41,0.15432787456862446,32,0.6594172297297297,0.6120734346510425,0.5215944132281538
13,42,0.14728397083988307,31,0.662426097972973,0.615570669131571,0.5236392407699879
13,43,0.14056156820016055,30,0.6635346283783784,0.6168592002049221,0.5311471482003658
13,44,0.13414599254909704,28,0.6730891047297297,0.6278169475407418,0.572746349045139
13,45,0.12802323954836076,27,0.6716638513513513,0.6261175342411073,0.5743623702783514
13,46,0.1221799440520617,26,0.6678103885135135,0.6216760286263019,0.5616578863264721
13,47,0.11660335093243673,24,0.6701330236486487,0.6243081633705783,0.5660288718057026
13,48,0.1112812872371222,23,0.6698163006756757,0.6240009641235243,0.5656671655266772
13,49,0.10620213561723678,22,0.6673880912162162,0.621006211641197,0.5602501011617331
13,50,0.10135480896827219,21,0.6597867398648649,0.6121504412604619,0.5454535192008773
13,51,0.09672872622843623,20,0.6537162162162162,0.60502939989419,0.5340904351921546
13,52,0.09231378928161843,19,0.6196684966216216,0.5651750515852301,0.4318945930456587
13,53,0.0881003609145615,18,0.6176097972972973,0.5625366679078805,0.4297857678529006
13,54,0.08407924378012192,17,0.6158678209459459,0.5605403263718732,0.42327524219367724
13,55,0.08024166032069831,17,0.6171875,0.562006052682003,0.4399687992500821
13,56,0.07657923360800463,16,0.6166068412162162,0.5615863391656712,0.4265539455079639
13,57,0.07308396905736299,15,0.6144953547297297,0.5591887950321696,0.42547606942366767
