Run,Iteration,Ratio,N_Variables,Accuracy,Kappa,Macro_F1
6,1,1.0,204,0.6810599662162162,0.6371074182782954,0.5384905531112523
6,2,0.954357540733128,204,0.6746199324324325,0.6296834735504531,0.5127407684573011
6,3,0.9107983155541839,194,0.6698690878378378,0.6243063137800069,0.510048683061761
6,4,0.8692272405361663,185,0.6724556587837838,0.6271624912795257,0.521755202117295
6,5,0.8295535716163387,177,0.6613175675675675,0.6142972134759833,0.49757498636809594
6,6,0.7916907065141517,169,0.6691828547297297,0.6232371582797442,0.5258958446241638
6,7,0.7555559956901182,161,0.6599978885135135,0.6126363733285256,0.4920877267856718
6,8,0.721070561932991,154,0.6610536317567568,0.6139002056365688,0.5020529099932459
6,9,0.6881591281814239,147,0.660472972972973,0.6130801643414805,0.5014275303227946
6,10,0.656749853204277,140,0.6627428209459459,0.6157238254260582,0.5072978558708219
6,11,0.6267741747808766,133,0.6642208614864865,0.6174490116075924,0.5205970082038304
6,12,0.5981666600389132,127,0.6593116554054054,0.6116453277901087,0.5084393822689973
6,13,0.5708648626232861,122,0.6523965371621622,0.6036112003220216,0.4935136931404689
6,14,0.5448091863841141,116,0.6561972128378378,0.6080257103712992,0.5032843737266894
6,15,0.5199427552863595,111,0.664379222972973,0.6173869604765967,0.5221380834411504
6,16,0.4962112892570966,106,0.661792652027027,0.6144024844364917,0.5279649654420576
6,17,0.4735629856994175,101,0.6626900337837838,0.615358530673817,0.5202892868482809
6,18,0.45194840641433354,96,0.6535578547297297,0.6047768990928928,0.5077170466465274
6,19,0.43132036968383947,92,0.6560916385135135,0.6077560518106357,0.505686816190488
6,20,0.41163384727957264,87,0.6620038006756757,0.6145826732552635,0.541161278406753
6,21,0.3928458661722489,83,0.6574113175675675,0.609305117045611,0.5291017850597797
6,22,0.3749154147273229,80,0.65625,0.6079033254771498,0.5191668341179747
6,23,0.35780335318210865,76,0.6617398648648649,0.6142044657392429,0.5197182114170288
6,24,0.341472328208944,72,0.6551942567567568,0.6067140763000107,0.502241626795979
6,25,0.3258866913779032,69,0.66015625,0.612567972994649,0.5232979850393833
6,26,0.3110124213410716,66,0.6639041385135135,0.6169602898164681,0.5366104426029372
6,27,0.29681704956852045,63,0.6658572635135135,0.6193382588989347,0.5390326530896148
6,28,0.28326958947387604,60,0.6699746621621622,0.6241296752133054,0.5350639261414831
6,29,0.27034046877477114,57,0.6735641891891891,0.628270225813176,0.5512621511530003
6,30,0.2580014649405315,55,0.6665962837837838,0.6203220824501203,0.5360940836892348
6,31,0.24622564358619,52,0.6670713682432432,0.620867947817955,0.5392594748775166
6,32,0.23498729967834794,50,0.6623733108108109,0.6155449436549274,0.518387905460061
