Run,Iteration,Ratio,N_Variables,Accuracy,Kappa,Macro_F1
16,1,1.0,204,0.6732474662162162,0.6281357967171091,0.5318792124706572
16,2,0.954357540733128,204,0.6854413006756757,0.6421781128887611,0.5414641401357119
16,3,0.9107983155541839,194,0.680004222972973,0.635888935798787,0.5317887319461059
16,4,0.8692272405361663,185,0.6688133445945946,0.6228766494629214,0.512766527329821
16,5,0.8295535716163387,177,0.667018581081081,0.6207746187405911,0.512957789655393
16,6,0.7916907065141517,169,0.6597867398648649,0.6122741474730418,0.5108429908226775
16,7,0.7555559956901182,161,0.6644847972972973,0.6178359687581516,0.5183970687102192
16,8,0.721070561932991,154,0.6601034628378378,0.6127672826383395,0.5067842629814181
16,9,0.6881591281814239,147,0.661159206081081,0.6139313671728502,0.5096957412837857
16,10,0.656749853204277,140,0.6625316722972973,0.6154695509088626,0.5265200559258811
16,11,0.6267741747808766,133,0.6686021959459459,0.6223947059733226,0.5320869467361359
16,12,0.5981666600389132,127,0.6582559121621622,0.6104547517225631,0.5110142372257249
16,13,0.5708648626232861,122,0.6628483952702703,0.6157247673099008,0.5304588533185355
16,14,0.5448091863841141,116,0.6625844594594594,0.6153506105907185,0.5185665145155822
16,15,0.5199427552863595,111,0.6580975506756757,0.610100431696615,0.5096013485102798
16,16,0.4962112892570966,106,0.6647487331081081,0.6178095628384523,0.5255066989393875
16,17,0.4735629856994175,101,0.6604201858108109,0.6128035031684429,0.5121763650815819
16,18,0.45194840641433354,96,0.6536106418918919,0.6049069490371666,0.49982091328113876
16,19,0.43132036968383947,92,0.6644320101351351,0.6173162900719767,0.5385511824856309
16,20,0.41163384727957264,87,0.6603673986486487,0.6126394875222193,0.5316619931750783
16,21,0.3928458661722489,83,0.6580447635135135,0.609943366104928,0.5316170330103838
16,22,0.3749154147273229,80,0.6607896959459459,0.6131780407305049,0.5355992869927292
16,23,0.35780335318210865,76,0.6561444256756757,0.6078276935427613,0.5254240190308042
16,24,0.341472328208944,72,0.6635346283783784,0.6164831013923573,0.5437302658361407
16,25,0.3258866913779032,69,0.661792652027027,0.6144145933473018,0.5296404972370741
16,26,0.3110124213410716,66,0.6694467905405406,0.6233423762198744,0.538593708856201
16,27,0.29681704956852045,63,0.665698902027027,0.6191157779616461,0.5339569396579178
16,28,0.28326958947387604,60,0.66015625,0.6128279092318814,0.5175813149582564
16,29,0.27034046877477114,57,0.6651182432432432,0.618515177857464,0.5342827164407143
16,30,0.2580014649405315,55,0.6641680743243243,0.6174200052477339,0.5277745557645174
16,31,0.24622564358619,52,0.660472972972973,0.613312279540398,0.5110245148683089
16,32,0.23498729967834794,50,0.6631651182432432,0.6164604798900477,0.525147734958138
16,33,0.22426190142454666,47,0.6654349662162162,0.6191360110969477,0.5181791217673504
16,34,0.21402603672366552,45,0.664379222972973,0.6177841671335944,0.5319101773411516
16,35,0.20425736206045553,43,0.6597867398648649,0.6125392614184535,0.5106731460941596
16,36,0.19493455373265248,41,0.6688661317567568,0.6229332528556794,0.5432796935171694
16,37,0.18603726130420398,39,0.6653293918918919,0.6188908940414857,0.539211339603896
16,38,0.17754606318300636,37,0.6679159628378378,0.6218682788583005,0.5374105141849717
16,39,0.16944242422618255,36,0.6613703547297297,0.6144537655720206,0.5203069770628462
16,40,0.1617086552803589,34,0.6588365709459459,0.6114616742606267,0.5223783948830755
16,41,0.15432787456862446,32,0.6706081081081081,0.6251595735795429,0.5477797748436821
16,42,0.14728397083988307,31,0.6674408783783784,0.6215470967164523,0.5386916138177847
16,43,0.14056156820016055,30,0.6736169763513513,0.6284335125835372,0.5631098167641577
16,44,0.13414599254909704,28,0.6635346283783784,0.6167504804740778,0.5651159608007483
16,45,0.12802323954836076,27,0.6700802364864865,0.6242336635934355,0.5696257842639444
16,46,0.1221799440520617,26,0.6616342905405406,0.6144370169654865,0.5468490480485315
16,47,0.11660335093243673,24,0.6508129222972973,0.6018832223940229,0.5288149318298774
16,48,0.1112812872371222,23,0.6529244087837838,0.6043295087718679,0.5367860490941174
16,49,0.10620213561723678,22,0.6426309121621622,0.592422205468939,0.5086206612709898
16,50,0.10135480896827219,21,0.6496516047297297,0.6005255659285286,0.5314500653634935
16,51,0.09672872622843623,20,0.6432115709459459,0.5931461886344928,0.5086253898279723
16,52,0.09231378928161843,19,0.6244721283783784,0.5709594003958436,0.4551007092515317
16,53,0.0881003609145615,18,0.6265836148648649,0.573441158119609,0.46297052806657346
16,54,0.08407924378012192,17,0.6277977195945946,0.5747825877213226,0.4658045184022578
16,55,0.08024166032069831,17,0.6264252533783784,0.5731150304657151,0.4672164035000367
16,56,0.07657923360800463,16,0.6266891891891891,0.5736384253060327,0.4636630803137098
16,57,0.07308396905736299,15,0.6430532094594594,0.5928749448987831,0.4914675325146762
16,58,0.06974823697660097,14,0.641627956081081,0.5913142113322826,0.4919430616364949
16,59,0.06656475591146033,14,0.6427364864864865,0.5925790150346275,0.4919057979651888
16,60,0.0635265767511622,13,0.5961782094594594,0.5378894957517457,0.38097332828297925
16,61,0.06062706755943346,12,0.5850401182432432,0.524854400202128,0.36466922152148473
16,62,0.05785989909788212,12,0.5857791385135135,0.5258016441020974,0.36643422039162554
16,63,0.05521903101012169,11,0.5837204391891891,0.5234587217865087,0.36396394008497934
16,64,0.05269869863648607,11,0.5840371621621622,0.5237559069983659,0.362548552867469
16,65,0.050293400430553095,10,0.5941195101351351,0.5349843854038407,0.3816831903458309
16,66,0.04799788595000907,10,0.5907411317567568,0.5308884320122819,0.3771358541818561
16,67,0.045807144395639814,9,0.5933277027027027,0.5336116181353651,0.3765870669568456
16,68,0.0437163936734301,9,0.585620777027027,0.5248715253152714,0.367887764318123
16,69,0.04172106995589601,8,0.5844594594594594,0.5230382497389086,0.36395346337484624
16,70,0.03981681771986371,8,0.586887668918919,0.5258368813113063,0.3656678024000835
16,71,0.03799948023894836,8,0.5862014358108109,0.525108105033993,0.3670586639664908
16,72,0.03626509050997986,7,0.588207347972973,0.5276472902904097,0.3689462178413312
16,73,0.03460986259356866,7,0.583984375,0.5227977878451511,0.3642678932647375
16,74,0.03303018334990966,7,0.5857791385135135,0.5250114635963352,0.3666722903517501
16,75,0.0315226045517841,6,0.5809755067567568,0.519795314788484,0.36547104360142735
16,76,0.030083835357543567,6,0.5733213682432432,0.5108266445575453,0.32756286087465203
16,77,0.028710735127645604,6,0.584934543918919,0.524349937948888,0.367674387575507
16,78,0.02740030656906009,5,0.5597550675675675,0.4904478960354379,0.3119693384320707
16,79,0.026149689192581947,5,0.5679898648648649,0.49991727739875713,0.3194010176220679
16,80,0.024956153068768163,5,0.570629222972973,0.5029692548234496,0.3230501365768902
16,81,0.02381709286886909,5,0.5683065878378378,0.5002336440458061,0.31957448137790556
16,82,0.022730022177746417,4,0.5539484797297297,0.48377787929288485,0.3048524878192522
16,83,0.021692568066363528,4,0.5568517736486487,0.4870443317920461,0.30708564362225044
16,84,0.020702465912000683,4,0.5604413006756757,0.4912299325503474,0.3105413189181885
16,85,0.019757554454888377,4,0.5623944256756757,0.4935202364317173,0.31250006079947457
16,86,0.01885577108046814,4,0.5528927364864865,0.48248649543984656,0.3036841375321655
16,87,0.0179951473169824,3,0.4558171452702703,0.3613723488453138,0.20389243992117795
