Metric,Value
Overall_Accuracy,0.7184555699242564
Cohens_Kappa,0.6806994941906583
Macro_Precision,0.6645929546545684
Macro_Recall,0.6408014207027826
Macro_F1,0.6173114785338641
Weighted_Precision,0.650730278969515
Weighted_Recall,0.7184555699242564
Weighted_F1,0.6390502160260554
